Zone#,Zip,CITY,DELIVERY DAYS
BROOKLYN,10301,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10302,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10303,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10304,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10305,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10306,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10307,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10308,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10309,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10310,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10311,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10312,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10313,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,10314,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11004,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11025,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11090,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11096,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11101,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11102,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11103,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11104,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11105,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11106,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11109,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11201,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11202,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11203,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11204,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11205,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11206,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11207,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11208,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11209,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11210,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11211,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11212,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11213,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11214,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11215,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11216,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11217,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11218,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11219,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11220,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11221,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11222,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11223,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11224,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11225,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11226,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11227,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11228,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11229,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11230,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11231,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11232,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11233,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11234,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11235,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11236,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11237,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11238,BROOKLYN,"MON,TUE,WED,THU,FRI"
BROOKLYN,11239,BROOKLYN,"MON,TUE,WED,THU,FRI"
