zip,carrier,county,days_of_service
10501,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10502,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10503,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10504,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10505,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10506,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10507,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10509,"DNT EXPRESS - Albany, NY",Putnam,"T, R"
10510,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10511,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10512,"DNT EXPRESS - Albany, NY",Putnam,"T, R"
10514,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10516,"DNT EXPRESS - Albany, NY",Putnam,"T, R"
10517,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10518,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10519,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10520,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10521,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10522,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10523,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10524,"DNT EXPRESS - Albany, NY",Putnam,"T, R"
10526,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10527,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10528,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10530,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10532,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10533,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10535,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10536,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10538,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10540,NEW JERSEY WAREHOUSE,Westchester,CALL YOUR NEW JERSEY WAREHOUSE
10541,"DNT EXPRESS - Albany, NY",Putnam,"T, R"
